,horsepower,engine,energie,boite_de_vitesse,porte,couleur,premiere_main,departement,age,Finition
363,90.0,1.5,Diesel,meca,5.0,gris,non,44,450,Limited
364,90.0,1.5,Diesel,meca,5.0,gris,non,45,795,Intens
365,90.0,1.5,Diesel,meca,5.0,gris,oui,77,1545,Intens
366,90.0,1.5,Diesel,meca,5.0,noir,non,40,437,Intens
367,90.0,1.5,Diesel,auto,5.0,noir,non,28,508,Intens
368,90.0,1.5,Diesel,meca,5.0,gris,non,31,2743,Intens
369,120.0,1.2,Essence,meca,5.0,noir,oui,31,1380,Intens
370,120.0,1.2,Essence,meca,5.0,rouge,non,91,1032,Intens
371,75.0,1.5,Diesel,meca,5.0,gris,oui,63,1198,Business
372,90.0,0.9,Essence,meca,5.0,noir,oui,91,1668,Zen
373,75.0,1.5,Diesel,meca,5.0,gris,non,91,1110,Business
374,75.0,1.5,Diesel,meca,5.0,blanc,oui,46,1114,autre
375,90.0,0.9,Essence,meca,5.0,noir,oui,38,746,Business
376,75.0,1.5,Diesel,meca,5.0,gris,oui,93,1653,Business
377,90.0,1.5,Diesel,meca,5.0,gris,oui,93,1290,Intens
378,90.0,1.5,Diesel,meca,5.0,blanc,oui,28,2426,Zen
379,90.0,1.5,Diesel,meca,5.0,blanc,oui,28,606,Business
380,90.0,0.9,Essence,meca,5.0,gris,oui,13,1033,autre
381,90.0,1.5,Diesel,meca,5.0,noir,oui,6,434,Intens
382,90.0,1.5,Diesel,meca,5.0,gris,oui,4,592,Limited
383,220.0,1.6,Essence,auto,5.0,blanc,non,37,1539,RS
384,220.0,1.6,Essence,auto,5.0,noir,non,31,1499,RS
385,75.0,1.2,Essence,meca,5.0,gris,non,74,2475,Zen
386,75.0,1.5,Diesel,meca,5.0,blanc,non,34,703,Business
387,75.0,1.5,Diesel,meca,5.0,gris,non,57,2150,Business
388,90.0,1.5,Diesel,meca,5.0,gris,oui,30,609,Business
